Source,Target,Category,Type
Alternatiba Paris,Emma Tosini,Mention,Undirected
Alternatiba Paris,Lulu,Mention,Undirected
Alternatiba Paris,QG le média libre,Mention,Undirected
Alternatiba Paris,Léo Coutellec - Candidat Nupes 1ère circo Nièvre,Mention,Undirected
Alternatiba Paris,Marie Cohuet ✌🏻,Mention,Undirected
Alternatiba Paris,Extinction Rebellion Paris / Île-de-France,Mention,Undirected
Alternatiba Paris,Lorette Philippot,Mention,Undirected
Alternatiba Paris,Frederic Amiel,Mention,Undirected
Alternatiba Paris,Basile Mesré-Barjon,Mention,Undirected
Alternatiba Paris,Maxime.L,Mention,Undirected
Alternatiba Paris,vert,Mention,Undirected
Reporterre | Le quotidien de l'écologie,Delphine Batho,Mention,Undirected
Reporterre | Le quotidien de l'écologie,350.org - France,Mention,Undirected
Reporterre | Le quotidien de l'écologie,Notre Affaire à Tous,Mention,Undirected
Reporterre | Le quotidien de l'écologie,BNP Paribas Group,Mention,Undirected
